Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_MEDIUM_RISK_PERCENTAGE		29.71
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_MEDIUM_RISK_COUNT		6
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_HIGH_RISK_LOC		99
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_HIGH_RISK_PERCENTAGE		9.61
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_HIGH_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		234
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		21.79
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		19
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		435
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		40.5
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		14
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		306
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		28.49
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		6
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		99
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		9.22
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
FILE_CHANGE_HISTORY_TOTAL_AGE_DAYS		85
FILE_CHANGE_HISTORY_ACTIVE_DAYS		17
FILE_CHANGE_HISTORY_WEEKS		12
FILE_CHANGE_HISTORY_ESTIMATED_WORKING_DAYS		60
FILE_AGE_NEGLIGIBLE_RISK_COUNT		37
FILE_AGE_LOW_RISK_COUNT		41
FILE_AGE_MEDIUM_RISK_COUNT		0
FILE_AGE_HIGH_RISK_COUNT		0
FILE_AGE_VERY_HIGH_RISK_COUNT		0
FILE_AGE_NEGLIGIBLE_RISK_LOC		4,383
FILE_AGE_LOW_RISK_LOC		2,418
FILE_AGE_MEDIUM_RISK_LOC		0
FILE_AGE_HIGH_RISK_LOC		0
FILE_AGE_VERY_HIGH_RISK_LOC		0
NUMBER_OF_CONTRIBUTORS		3
DUPLICATION_NUMBER_OF_DUPLICATES		48
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		21
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		767
DUPLICATION_NUMBER_OF_CLEANED_LINES		6,203
DUPLICATION_PERCENTAGE		12.36
UNIT_DUPLICATES_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SRC		727
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SRC		727
DUPLICATION_PERCENTAGE_PRIMARY_SRC		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_SERVER		28
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_SERVER		28
DUPLICATION_PERCENTAGE_PRIMARY_SERVER		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_CYPRESS		12
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_CYPRESS		12
DUPLICATION_PERCENTAGE_PRIMARY_CYPRESS		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROOT		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROOT		0
DUPLICATION_PERCENTAGE_PRIMARY_ROOT		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JSX		682
DUPLICATION_NUMBER_OF_CLEANED_LINES_JSX		3,274
DUPLICATION_PERCENTAGE_JSX		20.83
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JS		40
DUPLICATION_NUMBER_OF_CLEANED_LINES_JS		1,344
DUPLICATION_PERCENTAGE_JS		2.98
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_CSS		45
DUPLICATION_NUMBER_OF_CLEANED_LINES_CSS		1,566
DUPLICATION_PERCENTAGE_CSS		2.87
TOTAL_ANALYSIS_TIME_IN_MILLIS		2,517
